package_name,package_versions,sources
@clausehq/flows-step-jsontoxml,0.1.14,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@clausehq/flows-step-mqtt,0.1.14,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@clausehq/flows-step-sendgridemail,0.1.14,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@clausehq/flows-step-taskscreateurl,0.1.14,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@cllbk/ghl,1.3.1,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@commute/bloom,1.0.3,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@commute/market-data,1.0.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@commute/market-data-chartjs,2.3.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@dev-blinq/ai-qa-logic,1.0.19,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@dev-blinq/blinqioclient,1.0.21,"helixguard, koi, reversinglabs, stepsecurity, wiz"
@dev-blinq/cucumber-js,1.0.131,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@dev-blinq/cucumber_client,"1.0.1637-dev, 1.0.738, 1.0.739","datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@dev-blinq/ui-systems,1.0.93,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/address-encoder,1.1.5,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/blacklist,1.0.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/buffer,0.1.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ccip-read-cf-worker,0.0.4,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ccip-read-dns-gateway,0.1.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ccip-read-router,0.0.7,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ccip-read-worker-viem,0.0.4,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/content-hash,3.0.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/curvearithmetics,1.0.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/cypress-metamask,1.2.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/dnsprovejs,0.5.3,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/dnssec-oracle-anchors,0.0.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/dnssecoraclejs,0.2.9,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/durin,0.1.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/durin-middleware,0.0.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ens-archived-contracts,0.0.3,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ens-avatar,1.0.4,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ens-contracts,1.6.1,"koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ens-test-env,1.0.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ens-validation,0.1.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ensjs,4.0.3,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ensjs-react,0.0.5,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/eth-ens-namehash,2.0.16,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/hackathon-registrar,1.0.5,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/hardhat-chai-matchers-viem,0.1.15,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/hardhat-toolbox-viem-extended,0.0.6,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/mock,2.1.52,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/name-wrapper,1.0.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/offchain-resolver-contracts,0.2.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/op-resolver-contracts,0.0.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/react-ens-address,0.0.32,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/renewal,0.0.13,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/renewal-widget,0.1.10,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/reverse-records,1.0.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/server-analytics,0.0.2,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/solsha1,0.0.4,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/subdomain-registrar,0.2.4,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/test-utils,1.3.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/thorin,0.6.51,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/ui,3.4.6,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/unicode-confusables,0.1.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/unruggable-gateways,0.0.3,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/vite-plugin-i18next-loader,4.0.4,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ensdomains/web3modal,1.10.2,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@everreal/react-charts,"2.0.1, 2.0.2","helixguard, koi, reversinglabs, stepsecurity, wiz"
@everreal/validate-esmoduleinterop-imports,"1.4.4, 1.4.5","datadog, helixguard, koi, reversinglabs, stepsecurity, wiz"
@everreal/web-analytics,"0.0.1, 0.0.2","datadog, helixguard, koi, reversinglabs, stepsecurity, wiz"
@faq-component/core,0.0.4,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@faq-component/react,1.0.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@fishingbooker/browser-sync-plugin,1.0.5,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@fishingbooker/react-loader,1.0.7,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@fishingbooker/react-pagination,2.0.6,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@fishingbooker/react-raty,2.0.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@fishingbooker/react-swiper,0.1.5,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@hapheus/n8n-nodes-pgp,1.5.1,"datadog, koi, reversinglabs, socketdev, stepsecurity, wiz"
@hover-design/core,0.0.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@hover-design/react,0.2.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@huntersofbook/auth-vue,0.4.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@huntersofbook/core,0.5.1,"helixguard, koi, socketdev, stepsecurity, wiz"
@huntersofbook/core-nuxt,0.4.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@huntersofbook/form-naiveui,0.5.1,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@huntersofbook/i18n,0.8.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@huntersofbook/ui,0.5.1,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@hyperlook/telemetry-sdk,1.0.19,"datadog, helixguard, koi, stepsecurity, wiz"
@ifelsedeveloper/protocol-contracts-svm-idl,"0.1.2, 0.1.3","datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ifings/design-system,4.9.2,"helixguard, koi, reversinglabs, stepsecurity, wiz"
@ifings/metatron3,0.1.5,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@jayeshsadhwani/telemetry-sdk,1.0.14,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@kvytech/cli,0.0.7,"datadog, helixguard, koi, reversinglabs, stepsecurity, wiz"
@kvytech/components,0.0.2,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@kvytech/habbit-e2e-test,0.0.2,"datadog, helixguard, koi, reversinglabs, stepsecurity, wiz"
@kvytech/medusa-plugin-announcement,0.0.8,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@kvytech/medusa-plugin-management,0.0.5,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@kvytech/medusa-plugin-newsletter,0.0.5,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@kvytech/medusa-plugin-product-reviews,0.0.9,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@kvytech/medusa-plugin-promotion,0.0.2,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@kvytech/web,0.0.2,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lessondesk/api-client,"9.12.2, 9.12.3","helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lessondesk/babel-preset,1.0.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lessondesk/electron-group-api-client,1.0.3,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lessondesk/eslint-config,1.4.2,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lessondesk/material-icons,1.0.3,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lessondesk/react-table-context,2.0.4,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lessondesk/schoolbus,"5.2.2, 5.2.3","datadog, helixguard, koi, reversinglabs, stepsecurity, wiz"
@livecms/live-edit,0.0.32,"helixguard, koi, socketdev, stepsecurity, wiz"
@livecms/nuxt-live-edit,1.9.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@lokeswari-satyanarayanan/rn-zustand-expo-template,1.0.9,"helixguard, koi, socketdev, stepsecurity, wiz"
@louisle2/core,1.0.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@louisle2/cortex-js,0.1.6,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lpdjs/firestore-repo-service,1.0.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@lui-ui/lui-nuxt,0.1.1,"helixguard, koi, socketdev, stepsecurity, wiz"
@lui-ui/lui-tailwindcss,0.1.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@lui-ui/lui-vue,1.0.13,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@markvivanco/app-version-checker,"1.0.1, 1.0.2","datadog, helixguard, koi, reversinglabs, stepsecurity, wiz"
@mcp-use/cli,"2.2.6, 2.2.7","datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@mcp-use/inspector,"0.6.2, 0.6.3","datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@mcp-use/mcp-use,"1.0.1, 1.0.2","datadog, helixguard, koi, reversinglabs, stepsecurity, wiz"
@micado-digital/stadtmarketing-kufstein-external,1.9.1,"datadog, koi, socketdev, stepsecurity, wiz"
@mizzle-dev/orm,0.0.2,"datadog, koi, socketdev, wiz"
@mparpaillon/connector-parse,1.0.1,"helixguard, reversinglabs, wiz"
@mparpaillon/imagesloaded,4.1.2,"helixguard, reversinglabs, wiz"
@mparpaillon/page,1.0.1,"helixguard, reversinglabs, wiz"
@ntnx/passport-wso2,0.0.3,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@ntnx/t,0.0.101,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@oku-ui/accordion,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/alert-dialog,0.6.2,"koi, socketdev, stepsecurity, wiz"
@oku-ui/arrow,0.6.2,"datadog, helixguard, koi, stepsecurity, wiz"
@oku-ui/aspect-ratio,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/avatar,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/checkbox,0.6.3,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/collapsible,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/collection,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/dialog,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/direction,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/dismissable-layer,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/focus-guards,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/focus-scope,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/hover-card,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/label,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/menu,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/motion,0.4.4,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/motion-nuxt,0.2.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/popover,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/popper,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/portal,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/presence,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/primitive,0.6.2,"koi, socketdev, stepsecurity, wiz"
@oku-ui/primitives,0.7.9,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/primitives-nuxt,0.3.1,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/progress,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/provide,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/radio-group,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/roving-focus,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/scroll-area,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/separator,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/slider,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/slot,0.6.2,"datadog, helixguard, koi, stepsecurity, wiz"
@oku-ui/switch,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/tabs,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/toast,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/toggle,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/toggle-group,0.6.2,"helixguard, koi, stepsecurity, wiz"
@oku-ui/toolbar,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/tooltip,0.6.2,"datadog, helixguard, koi, stepsecurity, wiz"
@oku-ui/use-composable,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/utils,0.6.2,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@oku-ui/visually-hidden,0.6.2,"helixguard, koi, socketdev, stepsecurity, wiz"
@orbitgtbelgium/mapbox-gl-draw-cut-polygon-mode,2.0.5,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@orbitgtbelgium/mapbox-gl-draw-scale-rotate-mode,1.1.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@orbitgtbelgium/orbit-components,1.2.9,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@orbitgtbelgium/time-slider,1.0.187,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@osmanekrem/bmad,1.0.6,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@osmanekrem/error-handler,1.2.2,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@pergel/cli,0.11.1,"helixguard, koi, socketdev, stepsecurity, wiz"
@pergel/module-box,0.6.1,"helixguard, koi, socketdev, stepsecurity, wiz"
@pergel/module-graphql,0.6.1,"helixguard, koi, socketdev, stepsecurity, wiz"
@pergel/module-ui,0.0.9,"helixguard, koi, socketdev, stepsecurity, wiz"
@pergel/nuxt,0.25.5,"datadog, helixguard, koi, socketdev, stepsecurity, wiz"
@posthog/agent,1.24.1,"datadog, helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@posthog/ai,7.1.2,"helixguard, koi, reversinglabs, stepsecurity, wiz"
@posthog/automatic-cohorts-plugin,0.0.8,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@posthog/bitbucket-release-tracker,0.0.8,"helixguard, koi, reversinglabs, stepsecurity, wiz"
@posthog/cli,0.5.15,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
@posthog/clickhouse,1.7.1,"helixguard, koi, reversinglabs, socketdev, stepsecurity, wiz"
